OBJECTID,VALUE,COUNT,AREA,MEAN
-1,2015998,49,49.000000000000000,48.936245976662150
-1,2016236,230,230.000000000000000,47.739836054262909
-1,2016011,371,371.000000000000000,51.665074731461765
-1,2016012,455,455.000000000000000,50.817142780010514
-1,2016013,556,556.000000000000000,50.618631534439196
-1,2015983,575,575.000000000000000,50.061956680961281
-1,2015980,1,1.000000000000000,46.294700622558594
-1,2016266,556,556.000000000000000,50.442545616369451
-1,2015984,584,584.000000000000000,49.505668280875845
-1,2016265,557,557.000000000000000,49.897606847958251
-1,2015985,685,685.000000000000000,48.597396833879237
-1,2016264,558,558.000000000000000,49.246664047241211
-1,2015999,541,541.000000000000000,48.557992360508159
-1,2016263,642,642.000000000000000,48.349397807849158
-1,2016000,558,558.000000000000000,48.560438696201558
-1,2016001,603,603.000000000000000,48.064622996062980
-1,2016237,582,582.000000000000000,47.846408588370096
-1,2016284,662,662.000000000000000,47.567097004086591
-1,2016269,558,558.000000000000000,52.010831033029866
-1,2016268,556,556.000000000000000,51.545244745213353
-1,2016267,557,557.000000000000000,50.897288550166294
-1,2016291,639,639.000000000000000,51.410407494677813
-1,2016292,524,524.000000000000000,51.967014705861800
-1,2016293,490,490.000000000000000,51.913945334298269
-1,2016290,602,602.000000000000000,51.223915011383767
-1,2016289,576,576.000000000000000,50.784603099028267
-1,2016553,626,626.000000000000000,52.428552450844272
-1,2016294,297,297.000000000000000,51.565131036520810
-1,2016288,574,574.000000000000000,49.977403281873109
-1,2016552,722,722.000000000000000,52.707868364709235
-1,2016548,866,866.000000000000000,52.194924524144270
-1,2016287,577,577.000000000000000,49.526813487246294
-1,2016551,957,957.000000000000000,53.327110422068628
-1,2016286,641,641.000000000000000,48.825283276681411
-1,2016549,917,917.000000000000000,52.472188373428395
-1,2016295,144,144.000000000000000,52.058147854275177
-1,2016547,84,84.000000000000000,51.017174130394345
-1,2016546,420,420.000000000000000,51.034562020074752
-1,1992474,5437,5437.000000000000000,23.748052532847847
-1,1992471,3732,3732.000000000000000,22.876972360498524
-1,1992472,3224,3224.000000000000000,23.052708097486281
-1,1992473,7811,7811.000000000000000,22.986850012433834
-1,1992483,37540,37540.000000000000000,19.950258245706941
-1,1992470,8128,8128.000000000000000,22.791841207761465
-1,1992500,120068,120068.000000000000000,19.041537490593036
-1,1998182,4197,4197.000000000000000,33.774456740845835
-1,1998172,7781,7781.000000000000000,35.961554632810746
-1,1998180,8360,8360.000000000000000,32.504942462546971
-1,1998170,20164,20164.000000000000000,40.165258707827078
-1,1998171,11675,11675.000000000000000,35.290236523646612
-1,1998177,42531,42531.000000000000000,77.610344599697598
-1,1998178,84474,84474.000000000000000,88.743678669559543
-1,1989600,451726,451726.000000000000000,171.144995947053019
-1,1989621,591731,591731.000000000000000,180.560840022511144
-1,2016495,176,176.000000000000000,43.344627315347843
-1,2016496,727,727.000000000000000,43.794255787929444
-1,2016484,25,25.000000000000000,43.366639251708982
-1,2016485,634,634.000000000000000,43.143591011360243
-1,2016210,348,348.000000000000000,47.352858828402113
-1,2016209,609,609.000000000000000,46.626449559905453
-1,2016231,52,52.000000000000000,45.957647763765777
-1,2016232,540,540.000000000000000,46.424828910827635
-1,2016233,604,604.000000000000000,46.087454221106526
-1,2016241,585,585.000000000000000,46.655371074187450
-1,2016249,74,74.000000000000000,46.439428690317513
-1,2016248,543,543.000000000000000,46.191892571212179
-1,2016242,573,573.000000000000000,46.098092390396623
-1,2016247,560,560.000000000000000,45.957734005791799
-1,2016243,563,563.000000000000000,45.837529516135398
-1,2016246,558,558.000000000000000,45.752357660655910
-1,2016244,741,741.000000000000000,45.619671820307225
-1,2016245,689,689.000000000000000,45.813899910847923
-1,2016497,888,888.000000000000000,43.775901841687727
-1,2016513,1468,1468.000000000000000,45.651565593334894
-1,2016498,1328,1328.000000000000000,43.968004821294763
-1,2016238,665,665.000000000000000,47.768715633306286
-1,2016509,573,573.000000000000000,47.479170128521076
-1,2016239,762,762.000000000000000,47.457008156563667
-1,2016285,641,641.000000000000000,47.996581846763860
-1,2016510,573,573.000000000000000,46.865753872856416
-1,2016240,551,551.000000000000000,47.034495130424709
-1,2016519,557,557.000000000000000,47.464596890461507
-1,2016511,574,574.000000000000000,46.239683815826524
-1,2016518,558,558.000000000000000,46.837105788637658
-1,2016520,618,618.000000000000000,48.193537468277519
-1,2016521,592,592.000000000000000,47.885714595382275
-1,2016512,601,601.000000000000000,45.642242418946125
-1,2016517,723,723.000000000000000,46.218637980860791
-1,2016522,875,875.000000000000000,47.485218981061664
-1,2016516,1135,1135.000000000000000,45.698113462473330
-1,2016514,1094,1094.000000000000000,45.158890091305025
-1,2016515,796,796.000000000000000,45.285907127150338
-1,2016523,932,932.000000000000000,46.700586449946456
-1,2016536,7190,7190.000000000000000,42.778078663896288
-1,2016550,777,777.000000000000000,53.389611512997895
-1,2016537,557,557.000000000000000,49.949858324746039
-1,2016538,564,564.000000000000000,50.084075799225069
-1,2016539,598,598.000000000000000,50.316766254080576
-1,2016542,559,559.000000000000000,50.858304625973503
-1,2016543,555,555.000000000000000,50.798736249219189
-1,2016541,559,559.000000000000000,50.769421551863068
-1,2016540,595,595.000000000000000,50.399350744936648
-1,2016525,732,732.000000000000000,48.477607471695364
-1,2016527,621,621.000000000000000,50.417203003273684
-1,2016526,899,899.000000000000000,50.049833380473203
-1,2016524,838,838.000000000000000,47.205171821794529
-1,1880394,140,140.000000000000000,47.823832866123745
-1,1880393,641,641.000000000000000,49.087182341053406
-1,2016545,520,520.000000000000000,49.978289772914003
-1,2016544,555,555.000000000000000,50.569566159634974
-1,2016532,226,226.000000000000000,50.259135305354029
-1,2016531,558,558.000000000000000,49.747769543774240
-1,2016530,563,563.000000000000000,49.780974142504839
-1,2016529,562,562.000000000000000,49.899620273359304
-1,2016528,625,625.000000000000000,50.298809210205079
-1,1880401,139,139.000000000000000,49.885121489600309
-1,1880400,339,339.000000000000000,49.691945292605062
-1,1880399,613,613.000000000000000,49.956968845784374
-1,1880398,615,615.000000000000000,50.354834964411047
-1,1880397,605,605.000000000000000,50.466031470180546
-1,1880396,604,604.000000000000000,50.169313026579800
-1,1880395,631,631.000000000000000,49.702595657856456
-1,1880295,12,12.000000000000000,48.765060742696129
-1,2004848,125243,125243.000000000000000,28.003554638564978
-1,1992475,16286,16286.000000000000000,21.804678137408096
-1,1992476,5860,5860.000000000000000,23.545945908673389
-1,1992484,6822,6822.000000000000000,20.783670976482785
-1,1998174,19219,19219.000000000000000,33.729422997160519
-1,1998176,20567,20567.000000000000000,41.852504134844715
