Tract FIPS Code,tract_id,county,hra,coc
6001451503,1451503,Alameda,0,0
6001451504,1451504,Alameda,0,0
6001451505,1451505,Alameda,1,0
6001451506,1451506,Alameda,0,0
6001451601,1451601,Alameda,1,0
6001451602,1451602,Alameda,1,0
6001451701,1451701,Alameda,1,0
6001451703,1451703,Alameda,1,0
6001451704,1451704,Alameda,1,0
6001981900,1981900,Alameda,0,0
6001982000,1982000,Alameda,0,0
6001983200,1983200,Alameda,0,0
6001990000,1990000,Alameda,0,0
6013301000,13301000,Contra Costa,0,0
6013302005,13302005,Contra Costa,0,1
6013302006,13302006,Contra Costa,0,0
6013302007,13302007,Contra Costa,0,0
6013302008,13302008,Contra Costa,0,0
6013302009,13302009,Contra Costa,0,0
6013302010,13302010,Contra Costa,0,0
6013303102,13303102,Contra Costa,0,0
6013303103,13303103,Contra Costa,0,0
6013303201,13303201,Contra Costa,0,0
6013303202,13303202,Contra Costa,0,0
6013303203,13303203,Contra Costa,0,0
6013303204,13303204,Contra Costa,0,0
6013303205,13303205,Contra Costa,0,0
6013304001,13304001,Contra Costa,0,0
6013304002,13304002,Contra Costa,0,0
6013304003,13304003,Contra Costa,1,0
6013304004,13304004,Contra Costa,0,0
6013304005,13304005,Contra Costa,1,0
6013305000,13305000,Contra Costa,0,1
6013306002,13306002,Contra Costa,0,1
6013306003,13306003,Contra Costa,0,1
6013306004,13306004,Contra Costa,0,0
6013307101,13307101,Contra Costa,0,0
6013307102,13307102,Contra Costa,0,1
6013307201,13307201,Contra Costa,0,1
6013307202,13307202,Contra Costa,0,1
6013307204,13307204,Contra Costa,0,0
6013307205,13307205,Contra Costa,0,1
6013308001,13308001,Contra Costa,0,0
6013308002,13308002,Contra Costa,0,0
6013309000,13309000,Contra Costa,0,1
6013310000,13310000,Contra Costa,0,1
6013311000,13311000,Contra Costa,0,1
6013312000,13312000,Contra Costa,0,1
6013313101,13313101,Contra Costa,0,1
6013313102,13313102,Contra Costa,0,1
6013313103,13313103,Contra Costa,0,0
6013313203,13313203,Contra Costa,0,0
6013313204,13313204,Contra Costa,0,1
6013313205,13313205,Contra Costa,0,0
6013313206,13313206,Contra Costa,0,1
